movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits
20185242,9,667879,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,20180725.0,애니메이션,판타지,어드벤처,전체관람가
20186121,10,123887,어느 가족,SHOPLIFTERS,20180726.0,드라마,판타지,어드벤처,15세이상관람가
20170942,6,891308,인랑,ILLANG : THE WOLF BRIGADE,20180725.0,SF,액션,어드벤처,15세이상관람가
20180522,9,5444801,앤트맨과 와스프,Ant-Man and the Wasp,20180704.0,액션,어드벤처,SF,12세이상관람가
20185341,10,3188405,마녀,The Witch : Part 1. The Subversion,20180627.0,미스터리,액션,SF,15세이상관람가
20181443,7,999978,스카이스크래퍼,skyscraper,20180711.0,액션,스릴러,SF,12세이상관람가
20188042,9,136885,독전: 익스텐디드 컷,,20180718.0,범죄,액션,SF,15세이상관람가
20186001,10,63047,신은 죽지 않았다 3: 어둠 속의 빛,God's Not Dead: A Light in Darkness,20180719.0,드라마,액션,SF,12세이상관람가
20185621,6,64950,호텔 아르테미스,Hotel Artemis,20180718.0,액션,범죄,SF,15세이상관람가
20180282,7,212507,속닥속닥,The Whispering,20180713.0,공포(호러),미스터리,SF,15세이상관람가
20184845,8,306647,미드나잇 선,Midnight Sun,20180621.0,멜로/로맨스,미스터리,SF,12세이상관람가
20174369,9,480256,변산,Sunset in My Hometown,20180704.0,드라마,미스터리,SF,15세이상관람가
20178161,6,3132986,탐정: 리턴즈,The Accidental Detective 2: In Action,20180613.0,코미디,범죄,SF,15세이상관람가
20172469,8,310759,허스토리,Herstory,20180627.0,드라마,범죄,SF,12세이상관람가
20185001,9,124908,빅샤크: 매직체인지,Happy Little Submarine : MagicBox of Time,20180627.0,애니메이션,범죄,SF,전체관람가
20182564,10,24419,"오늘 밤, 로맨스 극장에서",Color Me True,20180711.0,판타지,멜로/로맨스,SF,전체관람가
20179086,6,5644952,쥬라기 월드: 폴른 킹덤,JURASSIC WORLD: FALLEN KINGDOM,20180606.0,액션,어드벤처,SF,12세이상관람가
20184721,7,208131,시카리오: 데이 오브 솔다도,Sicario: Day of the Soldado,20180627.0,액션,범죄,드라마,15세이상관람가
20184903,9,1326792,오션스8,Ocean's 8,20180613.0,액션,범죄,드라마,12세이상관람가
20179383,8,5053105,독전,Believer,20180522.0,범죄,액션,드라마,15세이상관람가
20184101,10,88662,여중생A,Student A,20180620.0,드라마,액션,드라마,12세이상관람가
20185081,7,213596,아이 필 프리티,I Feel PRETTY,20180606.0,코미디,액션,드라마,15세이상관람가
20184689,8,23712,아일라,Ayla: The Daughter of War,20180621.0,드라마,전쟁,드라마,15세이상관람가
20090834,9,13325055,아바타,Avatar,20091217.0,SF,액션,어드벤처,12세이상관람가
20184801,10,167760,유전,Hereditary,20180607.0,공포(호러),액션,어드벤처,15세이상관람가
20135305,7,173368,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,,20180606.0,애니메이션,액션,어드벤처,전체관람가
20176848,8,3777696,데드풀 2,DEADPOOL 2,20180516.0,액션,어드벤처,코미디,청소년관람불가
20184512,10,12415,토니스토리2: 고철왕국의 친구들,Knight Rusty 2: Full Metal Racket,20180613.0,애니메이션,코미디,어드벤처,전체관람가
20177478,7,11176953,어벤져스: 인피니티 워,Avengers: Infinity War,20180425.0,액션,어드벤처,판타지,12세이상관람가
20184261,8,27390,벅스 프렌즈,The Ladybug,20180606.0,애니메이션,어드벤처,판타지,전체관람가
20183801,9,309313,트루스 오어 데어,Truth or Dare,20180522.0,공포(호러),스릴러,판타지,15세이상관람가
20173202,10,521670,버닝,BURNING,20180517.0,미스터리,스릴러,판타지,청소년관람불가
20180789,5,202950,한 솔로: 스타워즈 스토리,Solo: A Star Wars Story,20180524.0,액션,SF,판타지,12세이상관람가
20173865,8,41906,데자뷰,DEJA VU,20180530.0,미스터리,스릴러,판타지,15세이상관람가
20176053,9,30268,"스탠바이, 웬디",Please Stand By,20180530.0,드라마,스릴러,판타지,전체관람가
20182046,10,106529,"안녕, 나의 소녀",Take Me to the Moon,20180516.0,멜로/로맨스,스릴러,판타지,12세이상관람가
20184513,10,13114,위 베어 베어스: 베이비 베어스,We Bare Bears,20180524.0,애니메이션,드라마,가족,전체관람가
20189783,6,1117539,챔피언,Champion,20180501.0,드라마,드라마,가족,12세이상관람가
20183321,8,13924,마징가 Z: 인피니티,MAZINGER Z / INFINITY,20180517.0,애니메이션,SF,액션,12세이상관람가
20182561,9,97632,당갈,Dangal,20180425.0,액션,드라마,액션,12세이상관람가
20176067,10,37969,"부르고뉴, 와인에서 찾은 인생",Back to Burgundy,20180503.0,드라마,드라마,액션,15세이상관람가
