movieCd,image_url,userRating,link
20192804,https://ssl.pstatic.net/imgmovie/mdi/mit110/1675/167560_P15_134853.jpg,6.22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167560
20184621,https://ssl.pstatic.net/imgmovie/mdi/mit110/1749/174903_P56_101925.jpg,8.30,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174903
20181103,https://ssl.pstatic.net/imgmovie/mdi/mit110/1793/179307_P21_104817.jpg,8.90,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179307
20181416,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179158_P35_115826.jpg,6.09,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179158
20194045,https://ssl.pstatic.net/imgmovie/mdi/mit110/1859/185913_P12_101651.jpg,9.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185913
20196850,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182355_P29_103027.jpg,7.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182355
20184543,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180351_P52_141008.jpg,6.80,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180351
20193665,https://ssl.pstatic.net/imgmovie/mdi/mit110/1871/187161_P20_165234.jpg,7.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187161
20184462,https://ssl.pstatic.net/imgmovie/mdi/mit110/1785/178526_P39_141329.jpg,7.90,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178526
20194541,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181700_P34_164530.jpg,9.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181700
20185985,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167653_P58_145534.jpg,6.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167653
20194384,https://ssl.pstatic.net/imgmovie/mdi/mit110/1836/183666_P01_135734.jpg,0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183666
20171021,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140656_P15_101312.jpg,7.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140656
20198323,https://ssl.pstatic.net/imgmovie/mdi/mit110/1649/164907_P27_114523.jpg,9.23,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164907
20182241,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154672_P27_101844.jpg,7.48,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154672
20183844,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180374_P29_165443.jpg,8.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180374
20191604,https://ssl.pstatic.net/imgmovie/mdi/mit110/1816/181694_P12_100024.jpg,7.22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181694
20188404,https://ssl.pstatic.net/imgmovie/mdi/mit110/1775/177510_P40_150304.jpg,4.77,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177510
20180442,https://ssl.pstatic.net/imgmovie/mdi/mit110/1785/178544_P17_104316.jpg,6.89,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178544
20187959,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168086_P01_105302.jpg,8.40,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168086
20183867,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163788_P18_105943.jpg,9.38,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163788
20193275,https://ssl.pstatic.net/imgmovie/mdi/mit110/1870/187051_P06_111618.jpg,9.14,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187051
20175771,https://ssl.pstatic.net/imgmovie/mdi/mit110/1696/169637_P24_102228.jpg,8.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169637
20191741,https://ssl.pstatic.net/imgmovie/mdi/mit110/1675/167599_P27_175118.jpg,8.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167599
20190741,https://ssl.pstatic.net/imgmovie/mdi/mit110/1851/185131_P16_144239.jpg,8.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185131
20182490,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173668_P65_112539.jpg,3.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173668
20196309,https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P06_135928.jpg,8.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123
20192725,https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182001_P11_173153.jpg,4.90,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182001
20190002,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168092_P33_140246.jpg,7.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168092
20184047,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101966_P09_114632.jpg,9.05,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966
20183782,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161967_P80_151640.jpg,8.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161967
20185353,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180209_P42_134851.jpg,5.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180209
20185986,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174834_P53_105510.jpg,6.38,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174834
20192222,https://ssl.pstatic.net/imgmovie/mdi/mit110/1799/179973_P08_102347.jpg,5.45,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179973
