movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits,image_url,userRating,link
20193601,8,1125481,장사리 : 잊혀진 영웅들,Battle of Jangsari,20190925.0,전쟁,멜로/로맨스,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159806_P02_134100.jpg,8.28,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159806
20183407,9,11161,버티고,Vertigo,20191016.0,드라마,멜로/로맨스,SF,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1804/180402_P24_114315.jpg,6.28,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180402
20196380,6,58604,몬스터 하우스,GNOME ALONE,20191003.0,애니메이션,어드벤처,SF,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164160_P00_101611.jpg,8.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164160
20195941,7,90886,소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,20191002.0,애니메이션,판타지,어드벤처,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1875/187508_P22_160934.jpg,4.19,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187508
20197691,8,17510,잃어버린 세계를 찾아서,Missing Link,20191009.0,애니메이션,어드벤처,어드벤처,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1816/181692_P21_144315.jpg,8.34,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181692
20184243,9,16827,판소리 복서,My Punch-Drunk Boxer,20191009.0,코미디,드라마,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1747/174797_P44_135652.jpg,6.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174797
20199446,10,270172,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,20190925.0,드라마,코미디,어드벤처,청소년관람불가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1728/172836_P09_101700.jpg,7.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172836
20194456,5,542651,양자물리학,By Quantum Physics: A Nightlife Venture,20190925.0,범죄,코미디,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1876/187629_P40_171937.jpg,8.3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187629
20188750,6,4556694,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,20190911.0,범죄,액션,어드벤처,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1779/177909_P32_103957.jpg,6.44,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177909
20192982,10,508767,애드 아스트라,AD ASTRA,20190919.0,SF,스릴러,어드벤처,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159887_P21_155654.jpg,7.25,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159887
